law_id,node_id,parent_node_id,node_type,level,order_index,label,text,line_start,line_end,row_uid,title_ai_relevant
https://fedlex.data.admin.ch/eli/cc/1/598_557_598,150283b4a93262183122a7ac7e4c5ad3a70ddfbc,,law_title,0,0,Arrêté fédéral concernant les prestations de la ville de Berne pour le siège fédéral,,0,0,1,False
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,c04b48a41ffa7146a692319bd53411105a9c0f8e,,law_title,0,0,Loi fédéralesur la poursuite pour dettes et la faillite,,0,0,2,False
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,8dc179e668a28e0ca8992a75e5393397cfe19f76,c04b48a41ffa7146a692319bd53411105a9c0f8e,titre,2,1,Titre premier: Dispositions générales,,1,1,3,False
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,0ae80ad9a7390b14e3bfbe75f986796e82b6bf35,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,2,Art. Art. 1,"1 Le territoire de chaque canton forme un ou plusieurs arrondissements de poursuite pour dettes et d’administration des faillites.
2 Les cantons déterminent le nombre et l’étendue de ces arrondissements.
3 Les arrondissements de faillite peuvent être divisés en plusieurs arrondissements de poursuite.",2,6,4,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,633755a0ac05905d6be2fe53d6dfc865b33ffc8a,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,3,Art. Art. 2,"1 Chaque arrondissement de poursuite est pourvu d’un office des poursuites qui est dirigé par le préposé aux poursuites.
2 Chaque arrondissement de faillite est pourvu d’un office des faillites qui est dirigé par le préposé aux faillites.
3 Un substitut remplace le préposé récusé ou empêché de diriger l’office.
4 L’office des poursuites et l’office des faillites peuvent être réunis sous une même direction.
5 Pour le reste, l’organisation des offices incombe aux cantons.",7,13,5,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,27cec7218eaf1dc8366be0de0122991ac375e606,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,4,Art. Art. 3,Le mode de traitement des préposés et de leurs substituts est de la compétence des cantons.,14,16,6,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,6fc7573417c083882715b33100ec613ac6d1d0ee,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,5,Art. Art. 4,"1 Les offices des poursuites et les offices des faillites procèdent aux actes de leur compétence à la requête des offices, des administrations spéciales de la faillite, ainsi que des commissaires et liquidateurs d’un autre arrondissement.
2 Les offices, administrations spéciales de la faillite, commissaires et liquidateurs peuvent aussi procéder à un acte de leur compétence en dehors de leur arrondissement, si l’office compétent à raison du lieu y consent. Celui-ci est toutefois seul compétent pour la notification des actes de poursuite autrement que par la poste, pour la saisie, la vente aux enchères et la réquisition de la force publique.",17,20,7,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,2a3ed4ef7ef0ff1786fec0bc6241784496d65c94,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,6,Art. Art. 4a,"1 Lors de faillites et de procédures concordataires ayant une connexité matérielle, les organes de l’exécution forcée, les autorités de surveillance et les tribunaux impliqués coordonnent leurs actions dans la mesure du possible.
2 Les tribunaux de la faillite et les tribunaux du concordat impliqués de même que les autorités de surveillance peuvent, d’un commun accord, désigner qui, parmi eux, exercera une compétence unique pour l’ensemble des procédures.",21,24,8,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,7e5a16ca286e08fbbaff3760043c9de50c78150c,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,7,Art. Art. 5,"1 Le canton répond du dommage causé, d’une manière illicite, par les préposés, les employés, leurs auxiliaires, les membres des administrations spéciales de la faillite, les commissaires, les liquidateurs, les autorités de surveillance, les autorités judiciaires ainsi que par la force publique dans l’exécution des tâches que leur attribue la présente loi.
2 Le lésé n’a aucun droit envers la personne fautive.
3 Le droit cantonal règle l’action récursoire contre les auteurs du dommage.
4 La réparation morale est en outre due lorsque la gravité de l’atteinte le justifie.",25,30,9,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,d2f66c2e8da9bb451539b63980bcda1567faba99,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,8,Art. Art. 6,"1 L’action en dommages-intérêts se prescrit par trois ans à compter du jour où la partie lésée a eu connaissance du dommage et, dans tous les cas, par dix ans à compter du jour où le fait dommageable s’est produit ou a cessé.
2 Si le fait dommageable résulte d’un acte punissable de la personne qui en est l’auteur, l’action se prescrit au plus tôt à l’échéance du délai de prescription de l’action pénale. Si la prescription de l’action pénale ne court plus parce qu’un jugement de première instance a été rendu, l’action civile se prescrit au plus tôt par trois ans à compter de la notification du jugement.",31,34,10,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,6aafb71e8f1e665a2c71b71d171b1c7f2aa9af05,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,9,Art. Art. 7,"Lorsqu’une action en dommages-intérêts est fondée sur l’acte illicite de l’autorité cantonale de surveillance supérieure ou du juge supérieur du concordat, le Tribunal fédéral est seul compétent.",35,37,11,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,52152df92a4bab604e21e40a04b2e42612de1a93,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,10,Art. Art. 8,"1 Les offices des poursuites et les offices des faillites dressent procès-verbal de leurs opérations, ainsi que des réquisitions et déclarations qu’ils reçoivent; ils tiennent les registres.
2 Les procès-verbaux et les registres font foi jusqu’à preuve du contraire.
3 L’office des poursuites rectifie d’office ou sur demande d’une personne concernée une inscription inexacte.",38,42,12,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,9ba7a7909ec5bb7ff73f12f96a3826a6f7b34af0,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,11,Art. Art. 8a,"1 Toute personne peut consulter les procès-verbaux et les registres des offices des poursuites et des offices des faillites et s’en faire délivrer des extraits à condition qu’elle rende son intérêt vraisemblable.
2 Cet intérêt est rendu vraisemblable en particulier lorsque la demande d’extrait est directement liée à la conclusion ou à la liquidation d’un contrat.
3 Les offices ne doivent pas porter à la connaissance de tiers:a. les poursuites nulles ainsi que celles qui ont été annulées sur plainte ou à la suite d’un jugement;b. les poursuites pour lesquelles le débiteur a obtenu gain de cause dans l’action en répétition de l’indu;c. les poursuites retirées par le créancier;d.les poursuites frappées d’opposition pour lesquelles une demande du débiteur dans ce sens est faite à l’expiration d’un délai de trois mois à compter de la notification du commandement de payer et avant l’échéance du droit de consultation des tiers, à moins que le créancier ne prouve, dans un délai de 20 jours imparti par l’office des poursuites, qu’une procédure d’annulation de l’opposition (art. 79 à 84) a été engagée à temps; lorsque la preuve est apportée par la suite, ou lorsque la poursuite est continuée, celle-ci est à nouveau portée à la connaissance de tiers, à moins que le débiteur ne prouve qu’une demande d’annulation de l’opposition déposée par le créancier n’a pas été admise, et ce de manière définitive.
4 Le droit de consultation des tiers s’éteint cinq ans après la clôture de la procédure. Les autorités judiciaires et administratives peuvent encore, dans l’intérêt d’une procédure pendante devant elles, demander la délivrance d’un extrait.",43,48,13,
https://fedlex.data.admin.ch/eli/cc/11/529_488_529,8cd5568ab0f00d80b8a474fe18727aea95f7fc42,8dc179e668a28e0ca8992a75e5393397cfe19f76,article,5,12,Art. Art. 9,"Les offices de poursuites et de faillites sont tenus de consigner à la caisse des dépôts et consignations les sommes, valeurs et objets de prix dont ils n’ont pas emploi dans les trois jours.",49,51,14,
