timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/03 17:22:12.027, 0 %, 0 %, 2689 MiB, 40960 MiB
2026/02/03 17:22:42.029, 0 %, 0 %, 2689 MiB, 40960 MiB
2026/02/03 17:23:12.030, 0 %, 0 %, 2689 MiB, 40960 MiB
2026/02/03 17:23:42.031, 3 %, 0 %, 4135 MiB, 40960 MiB
2026/02/03 17:24:12.032, 0 %, 0 %, 8337 MiB, 40960 MiB
2026/02/03 17:24:42.033, 3 %, 0 %, 12117 MiB, 40960 MiB
2026/02/03 17:25:12.034, 0 %, 0 %, 15929 MiB, 40960 MiB
2026/02/03 17:25:42.036, 66 %, 39 %, 21895 MiB, 40960 MiB
2026/02/03 17:26:12.036, 67 %, 41 %, 21895 MiB, 40960 MiB
2026/02/03 17:26:42.037, 100 %, 52 %, 21895 MiB, 40960 MiB
2026/02/03 17:27:12.037, 65 %, 39 %, 23505 MiB, 40960 MiB
2026/02/03 17:27:42.038, 60 %, 36 %, 23505 MiB, 40960 MiB
